tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Bei	-	bei	APPR	APPR.Dat	yes	reported.speech writing.1	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	reported.speech writing.1	-	-	-	-
Vereinbarung	-	Vereinbarung	NN	N.Reg.Dat.Sg.Fem	no	reported.speech writing.1	-	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech writing.1	-	-	-	-
welche	-	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	reported.speech writing.1	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	reported.speech writing.1	-	-	-	-
Leben	-	Leben	NN	N.Reg.Dat.Sg.Neut	no	reported.speech writing.1	-	-	-	-
unseres	-	unser	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Neut	no	reported.speech writing.1	-	-	-	-
Volkes	-	Volk	NN	N.Reg.Gen.Sg.Neut	no	reported.speech writing.1	-	-	-	-
sieben	-	sieben	CARD	CARD	no	reported.speech writing.1	-	-	-	-
Millionen	-	Million	NN	N.Reg.Acc.Pl.Fem	no	reported.speech writing.1	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	reported.speech writing.1	-	-	-	-
dreißig	-	dreißig	CARD	CARD	no	reported.speech writing.1	-	-	-	-
Millionen	-	Million	NN	N.Reg.Dat.Pl.Fem	no	reported.speech writing.1	-	-	-	-
schließen	-	schließen	VVINF	VINF.Full.-	no	reported.speech writing.1	-	-	-	-
sollen	-	sollen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	reported.speech writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
gewinnen	-	gewinnen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
ohne	-	ohne	APPR	APPR.Acc	no	-	-	-	-	-
Zweifel	-	Zweifel	NN	N.Reg.Acc.*.Masc	no	-	-	-	-	-
beide	-	beide	PIAT	PRO.Indef.Attr.-.Acc.Pl.Neut	no	-	-	-	-	-
Theile	-	Theile	NE	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
da	-	da	ADV	CONJ.SubFin.-	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
vereinten	-	vereint	ADJA	ADJA.Pos.Dat.Pl.Fem	no	-	-	-	-	-
Kräften	-	Kraft	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
Rath	-	Rath	NE	N.Name.Dat.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
That	-	That	NE	N.Name.Dat.Sg.Masc	no	-	-	-	-	-
mehr	-	mehr	ADV	PRO.Indef.Subst.-.*.*.*	no	-	-	-	-	-
auszurichten	-	ausrichten	VVIZU	VINF.Full.zu	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
als	-	als	KOUS	CONJ.Comp.-	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
getrennten	-	getrennt	ADJA	ADJA.Pos.Dat.Pl.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Gegensatz	-	Gegensatz	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
befindlichen	-	befindlichen	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	frame.2	speaker.2	-	-
rechnen	-	rechnen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	frame.2	-	intexpr.2	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.2	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.2	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	indirect.thought.2	-	-	-	-
zweite	-	zweiter	ADJA	ADJA.Pos.Nom.Sg.Fem	no	indirect.thought.2	-	-	-	-
Sitzungsperiode	-	Sitzungsperiode	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	indirect.thought.2	-	-	-	-
Zollparlaments	-	Zollparlament	NN	N.Reg.Gen.Sg.Neut	no	indirect.thought.2	-	-	-	-
viel	-	viel	PIAT	ADV	no	indirect.thought.2	-	-	-	-
unbefangener	-	unbefangen	ADJA	ADJD.Comp	no	indirect.thought.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.thought.2	-	-	-	-
leidenschaftsloser	-	leidenschaftslos	ADJA	ADJD.Comp	no	indirect.thought.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.thought.2	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	indirect.thought.2	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Fem	no	indirect.thought.2	-	-	-	-
praktischen	-	praktisch	ADJA	ADJA.Pos.Acc.Pl.Fem	no	indirect.thought.2	-	-	-	-
Aufgaben	-	Aufgabe	NN	N.Reg.Acc.Pl.Fem	no	indirect.thought.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	indirect.thought.2	-	-	-	-
Zollvereins	-	Zollverein	NN	N.Reg.Gen.Sg.Masc	no	indirect.thought.2	-	-	-	-
bedacht	-	bedacht	ADJD	ADJD.Pos	no	indirect.thought.2	-	-	-	-
verlaufen	-	verlaufen	VVPP	VPP.Full.Psp	no	indirect.thought.2	-	-	-	-
werde	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Subj	no	indirect.thought.2	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.thought.2	-	-	-	-
Keineswegs	-	keineswegs	ADV	ADV	yes	reported.thought.3.nonfact	-	-	-	-
soll	-	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	reported.thought.3.nonfact	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	reported.thought.3.nonfact	-	-	-	-
wiederversammelte	-	wiederversammelt	ADJA	ADJA.Pos.Nom.Sg.Neut	no	reported.thought.3.nonfact	-	-	-	-
Zollparlament	-	Zollparlament	NN	N.Reg.Nom.Sg.Neut	no	reported.thought.3.nonfact	-	speaker.3	-	-
darauf	-	darauf	PAV	PROADV.Dem	no	reported.thought.3.nonfact	-	-	-	-
ausgehen	-	ausgehen	VVINF	VINF.Full.-	no	reported.thought.3.nonfact	-	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.3.nonfact	-	-	-	-
seine	-	sein	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Fem	no	reported.thought.3.nonfact	-	-	-	-
Competenz	-	Competenz	NN	N.Reg.Acc.Sg.Fem	no	reported.thought.3.nonfact	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	reported.thought.3.nonfact	-	-	-	-
erweitern	-	erweitern	VVINF	VINF.Full.-	no	reported.thought.3.nonfact	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	reported.thought.3.nonfact	-	-	-	-
Freilich	-	freilich	ADV	ADV	yes	-	-	-	-	-
vermögen	-	vermögen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Zölle	-	Zoll	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
welche	-	welcher	PRELS	PRO.Rel.Subst.-.Acc.Pl.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
aus	-	aus	APPR	APPR.Dat	yes	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	-	-	-	-	-
Zusammenhange	-	Zusammenhange	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	-	-	-	-	-
Steuerwesen	-	Steuerwesen	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	-	-	-	-	-
Staatshaushalt	-	Staatshaushalt	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Neut	no	-	-	-	-	-
verbündeten	-	verbündet	ADJA	ADJA.Pos.Gen.Pl.Neut	no	-	-	-	-	-
Länder	-	Land	NN	N.Reg.Gen.Pl.Neut	no	-	-	-	-	-
gerückt	-	rücken	VVPP	VPP.Full.Psp	no	-	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
selbst	-	selbst	ADV	ADV	no	reported.thought.4	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	reported.thought.4	-	-	-	-
größtem	-	groß	ADJA	ADJA.Sup.Dat.Sg.Neut	no	reported.thought.4	-	-	-	-
Vertrauen	-	vertrauen	NN	N.Reg.Dat.Sg.Neut	no	reported.thought.4	-	-	intexpr.4	-
in	-	in	APPR	APPR.In	no	reported.thought.4	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Fem	no	reported.thought.4	-	-	-	-
zusammenwirkenden	-	zusammenwirkend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	reported.thought.4	-	-	-	-
Regierungen	-	Regierung	NN	N.Reg.Acc.Pl.Fem	no	reported.thought.4	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
leicht	-	leicht	ADJD	ADJD.Pos	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
richtige	-	richtig	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
