tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Neueste	Neueste	neu	ADJA	-	yes	-	-	-	-	-
Posten	Posten	Posten	NN	-	no	-	-	-	-	-
.	.	.	$.	-	yes	-	-	-	-	-
London	London	London	NE	-	yes	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
8	8	8	CARD	-	no	-	-	-	-	-
März	März	März	NN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
Ueber	Über	über	APPR	-	yes	-	-	-	-	-
die	die	d	ART	-	no	-	-	-	-	-
Haltung	Haltung	Haltung	NN	-	no	-	-	-	-	-
Englands	Englands	England	NN	-	no	-	-	-	-	-
bei	bei	bei	APPR	-	no	-	-	-	-	-
der	der	d	ART	-	no	-	-	-	-	-
Feststellung	Feststellung	Feststellung	NN	-	no	-	-	-	-	-
der	der	d	ART	-	no	-	-	-	-	-
Friedenspräliminarien	Friedenspräliminarien	Friedenspräliminarien	NN	-	no	-	-	-	-	-
liegen	liegen	liegen	VVFIN	-	no	-	-	-	-	-
nähere	nähere	nah	ADJA	-	no	reported.writing.11	-	-	-	-
Mittheilungen	Mitteilungen	Mitteilung	NN	-	no	reported.writing.11	-	-	intexpr.11	-
in	in	in	APPR	-	no	reported.writing.11	-	-	-	-
der	der	d	ART	-	no	reported.writing.11	-	-	-	-
diplomatischen	diplomatischen	diplomatisch	ADJA	-	no	reported.writing.11	-	-	-	-
Correspondenz	Korrespondenz	Korrespondenz	NN	-	no	reported.writing.11	-	-	-	-
zwischen	zwischen	zwischen	APPR	-	no	reported.writing.11	-	-	-	-
Granville	Granville	Granville	NE	-	no	reported.writing.11	-	-	-	-
und	und	und	KON	-	no	reported.writing.11	-	-	-	-
Lyons	Lyons	Lyons	NE	-	no	reported.writing.11	-	-	-	-
vor	vor	vor	PTKVZ	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
woraus	woraus	woraus	PWAV	-	no	-	-	-	-	-
folgendes	folgendes	folgend	PIS	-	no	-	-	-	-	-
hervorzuheben	hervorzuheben	hervorheben	VVIZU	-	no	-	-	-	-	-
ist	ist	sein	VAFIN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
Am	Am	am	APPRART	-	yes	-	-	-	-	-
24	24	24	CARD	-	no	-	-	-	-	-
Febr	Febr	Febr	NN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
traf	traf	treffen	VVFIN	-	no	-	-	-	-	-
der	der	d	ART	-	no	-	-	-	-	-
neue	neue	neu	ADJA	-	no	-	-	-	-	-
französische	französische	französisch	ADJA	-	no	-	-	-	-	-
Botschafter	Botschafter	Botschafter	NN	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
Herzog	Herzog	Herzog	NE	-	no	-	-	-	-	-
v.	v.	v.	APPRART	-	no	-	-	-	-	-
Broglie	Broglie	Broglie	NE	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
in	in	in	APPR	-	no	-	-	-	-	-
London	London	London	NE	-	no	-	-	-	-	-
ein	ein	ein	PTKVZ	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
Er	Er	er	PPER	-	yes	-	-	speaker.1_12	-	-
besuchte	besuchte	besuchen	VVFIN	-	no	-	-	-	-	-
sofort	sofort	sofort	ADV	-	no	-	-	-	-	-
Granville	Granville	Granville	NE	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
beklagte	beklagte	beklagen	VVFIN	-	no	reported.speech.1	-	-	intexpr.1	-
die	die	d	ART	-	no	reported.speech.1	-	-	-	-
kalte	kalte	kalt	ADJA	-	no	reported.speech.1	-	-	-	-
und	und	und	KON	-	no	reported.speech.1	-	-	-	-
gleichgültige	gleichgültige	gleichgültig	ADJA	-	no	reported.speech.1	-	-	-	-
Haltung	Haltung	Haltung	NN	-	no	reported.speech.1	-	-	-	-
Englands	Englands	England	NE	-	no	reported.speech.1	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
und	und	und	KON	-	no	reported.speech.12	-	-	-	-
ersuchte	ersuchte	ersuchen	VVFIN	-	no	reported.speech.12	-	-	-	-
Granville	Granville	Granville	NE	-	no	reported.speech.12	-	-	-	-
im	im	im	APPRART	-	no	reported.speech.12	-	-	-	-
deutschen	deutschen	deutsch	ADJA	-	no	reported.speech.12	-	-	-	-
Hauptquartier	Hauptquartier	Hauptquartier	NN	-	no	reported.speech.12	-	-	-	-
Schritte	Schritte	Schritt	NN	-	no	reported.speech.12	-	-	-	-
zu	zu	zu	PTKZU	-	no	reported.speech.12	-	-	-	-
thun	tun	tun	VVINF	-	no	reported.speech.12	-	-	-	-
zur	zur	zur	APPRART	-	no	reported.speech.12	-	-	-	-
Verlängerung	Verlängerung	Verlängerung	NN	-	no	reported.speech.12	-	-	-	-
des	des	d	ART	-	no	reported.speech.12	-	-	-	-
Waffenstillstandes	Waffenstillstandes	Waffenstillstand	NN	-	no	reported.speech.12	-	-	-	-
und	und	und	KON	-	no	reported.speech.12	-	-	-	-
zur	zur	zur	APPRART	-	no	reported.speech.12	-	-	-	-
Verminderung	Verminderung	Verminderung	NN	-	no	reported.speech.12	-	-	-	-
der	der	d	ART	-	no	reported.speech.12	-	-	-	-
Kriegskosten	Kriegskosten	Kriegskosten	NN	-	no	reported.speech.12	-	-	-	-
,	,	,	$,	-	no	reported.speech.12	-	-	-	-
welche	welche	welche	PRELS	-	no	reported.speech.12	-	-	-	-
ursprünglich	ursprünglich	ursprünglich	ADJD	-	no	reported.speech.12	-	-	-	-
auf	auf	auf	APPR	-	no	reported.speech.12	-	-	-	-
sechs	sechs	sechs	CARD	-	no	reported.speech.12	-	-	-	-
Milliarden	Milliarden	Milliarde	NN	-	no	reported.speech.12	-	-	-	-
bemessen	bemessen	bemessen	VVINF	-	no	reported.speech.12	-	-	-	-
waren	waren	sein	VAFIN	-	no	reported.speech.12	-	-	-	-
.	.	.	$.	-	no	reported.speech.12	-	-	-	-
Granville	Granville	Granville	NE	-	yes	-	-	speaker.2	-	-
begab	begab	begeben	VVFIN	-	no	-	-	-	-	-
sich	sich	sich	PRF	-	no	-	-	-	-	-
mit	mit	mit	APPR	-	no	-	-	-	-	-
Broglie	Broglie	Broglie	NE	-	no	-	-	-	-	-
zur	zur	zur	APPRART	-	no	-	-	-	-	-
Königin	Königin	Königin	NN	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
und	und	und	KON	-	no	reported.speech.2	-	-	-	-
hatte	hatte	haben	VAFIN	-	no	reported.speech.2	-	-	-	-
dann	dann	dann	ADV	-	no	reported.speech.2	-	-	-	-
eine	eine	eine	ART	-	no	reported.speech.2	-	-	-	-
Berathung	Beratung	Beratung	NN	-	no	reported.speech.2	-	-	intexpr.2	-
mit	mit	mit	APPR	-	no	reported.speech.2	-	-	-	-
seinen	seinen	seine	PPOSAT	-	no	reported.speech.2	-	-	-	-
Collegen	Kollegen	Kollege	NN	-	no	reported.speech.2	-	speaker.2	-	-
.	.	.	$.	-	no	reported.speech.2	-	-	-	-
Bezüglich	Bezüglich	bezüglich	APPR	-	yes	-	-	-	-	-
des	des	d	ART	-	no	-	-	-	-	-
Waffenstillstandes	Waffenstillstandes	Waffenstillstand	NN	-	no	-	-	-	-	-
lehnte	lehnte	lehnen	VVFIN	-	no	-	-	-	-	-
Granville	Granville	Granville	NE	-	no	-	-	-	-	-
ab	ab	ab	PTKVZ	-	no	-	-	-	-	-
;	;	;	$.	-	no	-	-	-	-	-
aber	aber	aber	ADV	-	no	-	-	-	-	-
hinsichtlich	hinsichtlich	hinsichtlich	APPR	-	no	-	-	-	-	-
der	der	d	ART	-	no	-	-	-	-	-
Verminderung	Verminderung	Verminderung	NN	-	no	-	-	-	-	-
der	der	d	ART	-	no	-	-	-	-	-
Kriegskosten	Kriegskosten	Kriegskosten	NN	-	no	-	-	-	-	-
sandte	sandte	senden	VVFIN	-	no	-	-	-	-	-
er	er	er	PPER	-	no	-	-	-	-	-
noch	noch	noch	ADV	-	no	-	-	-	-	-
am	am	am	APPRART	-	no	-	-	-	-	-
24	24	24	CARD	-	no	-	-	-	-	-
Febr	Febr	Febr	NN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
ein	ein	eine	ART	-	no	-	-	-	-	-
Telegramm	Telegramm	Telegramm	NN	-	no	-	-	-	-	-
nach	nach	nach	APPR	-	no	-	-	-	-	-
Versailles	Versailles	Versailles	NE	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
worin	worin	worin	PWAV	-	no	reported.writing.3	-	-	-	-
er	er	er	PPER	-	no	reported.writing.3	-	speaker.3	-	-
die	die	d	ART	-	no	reported.writing.3	-	-	-	-
Unmöglichkeit	Unmöglichkeit	Unmöglichkeit	NN	-	no	reported.writing.3	-	-	-	-
der	der	d	ART	-	no	reported.writing.3	-	-	-	-
Zahlung	Zahlung	Zahlung	NN	-	no	reported.writing.3	-	-	-	-
von	von	von	APPR	-	no	reported.writing.3	-	-	-	-
sechs	sechs	sechs	CARD	-	no	reported.writing.3	-	-	-	-
Milliarden	Milliarden	Milliarde	NN	-	no	reported.writing.3	-	-	-	-
ausführte	ausführte	ausführen	VVFIN	-	no	reported.writing.3	-	-	intexpr.3	-
,	,	,	$,	-	no	reported.writing.3	-	-	-	-
sowie	sowie	sowie	KON	-	no	reported.writing.3	-	-	-	-
seine	seine	seine	PPOSAT	-	no	reported.writing.3	-	-	-	-
guten	guten	gut	ADJA	-	no	reported.writing.3	-	-	-	-
Dienste	Dienste	Dienst	NN	-	no	reported.writing.3	-	-	-	-
anbot	anbot	anbieten	VVFIN	-	no	reported.writing.3	-	-	intexpr.3	-
.	.	.	$.	-	no	reported.writing.3	-	-	-	-
Russell	Russell	Russell	NE	-	yes	-	-	-	-	-
erhielt	erhielt	erhalten	VVFIN	-	no	-	-	-	-	-
das	das	d	ART	-	no	-	-	-	-	-
Telegramm	Telegramm	Telegramm	NN	-	no	-	-	-	-	-
erst	erst	erst	ADV	-	no	-	-	-	-	-
am	am	am	APPRART	-	no	-	-	-	-	-
25	25	25	CARD	-	no	-	-	-	-	-
Febr	.	.	$.	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
Abends	Abends	Abend	NN	-	no	-	-	-	-	-
um	um	um	APPR	-	no	-	-	-	-	-
11	11	11	CARD	-	no	-	-	-	-	-
Uhr	Uhr	Uhr	NN	-	no	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
wo	wo	wo	PWAV	-	no	-	-	-	-	-
die	die	d	ART	-	no	-	-	-	-	-
Präliminarien	Präliminarien	Präliminarien	NN	-	no	-	-	-	-	-
bereits	bereits	bereits	ADV	-	no	-	-	-	-	-
abgeschlossen	abgeschlossen	abschließen	VVPP	-	no	-	-	-	-	-
waren	waren	sein	VAFIN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
Jndessen	Indessen	indessen	ADV	-	yes	-	-	-	-	-
war	war	sein	VAFIN	-	no	-	-	-	-	-
die	die	d	ART	-	no	reported.writing.13	-	-	-	-
entsprechende	entsprechende	entsprechend	ADJA	-	no	reported.writing.13	-	-	-	-
Mittheilung	Mitteilung	Mitteilung	NN	-	no	reported.writing.13	-	-	intexpr.13	-
aus	aus	aus	APPR	-	no	reported.writing.13	-	-	-	-
London	London	London	NE	-	no	reported.writing.13	-	-	-	-
seitens	seitens	seitens	APPR	-	no	reported.writing.13	-	-	-	-
des	des	d	ART	-	no	reported.writing.13	-	-	-	-
Grafen	Grafen	Graf	NN	-	no	reported.writing.13	-	speaker.13	-	-
Bernstorff	Bernstorff	Bernstorff	NE	-	no	reported.writing.13	-	speaker.13	-	-
dem	dem	d	ART	-	no	-	-	-	-	-
Grafen	Grafen	Graf	NN	-	no	-	-	-	-	-
Bismarck	Bismarck	Bismarck	NE	-	no	-	-	-	-	-
bereits	bereits	bereits	ADV	-	no	-	-	-	-	-
am	am	am	APPRART	-	no	-	-	-	-	-
25	25	25	CARD	-	no	-	-	-	-	-
Febr	Febr	Febr	NN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
Morgens	Morgens	morgens	ADV	-	yes	-	-	-	-	-
zugegangen	zugegangen	zugehen	VVPP	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
(	(	(	$(	-	yes	-	-	-	-	-
T.	T.	T.	NE	-	no	-	-	-	-	-
N. )	N.)	N.)	NE	-	no	-	-	-	-	-
Lille	Lille	Lille	NE	-	yes	-	-	-	-	-
,	,	,	$,	-	no	-	-	-	-	-
7	7	7	CARD	-	no	-	-	-	-	-
März	März	März	NN	-	no	-	-	-	-	-
.	.	.	$.	-	no	-	-	-	-	-
General	General	General	NE	-	yes	-	frame.4	speaker.4	-	-
Faidherbe	Faidherbe	Faidherbe	NE	-	no	-	frame.4	speaker.4	-	-
hat	hat	haben	VAFIN	-	no	-	frame.4	-	-	-
bei	bei	bei	APPR	-	no	-	frame.4	-	-	-
Gelegenheit	Gelegenheit	Gelegenheit	NN	-	no	-	frame.4	-	-	-
der	der	d	ART	-	no	-	frame.4	-	-	-
Entlassung	Entlassung	Entlaßung	NN	-	no	-	frame.4	-	-	-
des	des	d	ART	-	no	-	frame.4	-	-	-
23.	23.	23.	ADJA	-	no	-	frame.4	-	-	-
Corps	Korps	Korps	NN	-	no	-	frame.4	-	-	-
folgenden	folgenden	folgend	ADJA	-	no	-	frame.4	-	-	-
Tagsbefehl	Tagsbefehl	Tagsbefehl	NN	-	no	-	frame.4	-	intexpr.4	-
erlassen	erlassen	erlassen	VVPP	-	no	-	frame.4	-	-	-
:	:	:	$.	-	no	-	frame.4	-	-	-
„	&quot;	&quot;	$(	-	yes	direct.speech.4	-	-	-	-
Nationalgarden	Nationalgarden	Nationalgarde	NN	-	no	direct.speech.4	-	-	-	-
des	des	d	ART	-	no	direct.speech.4	-	-	-	-
Nordens	Nordens	Norden	NN	-	no	direct.speech.4	-	-	-	-
,	,	,	$,	-	no	direct.speech.4	-	-	-	-
entlassen	entlassen	entlassen	VVPP	-	no	direct.speech.4	-	-	-	-
auf	auf	auf	APPR	-	no	direct.speech.4|reported.speech writing.14	-	-	-	-
Befehl	Befehl	Befehl	NN	-	no	direct.speech.4|reported.speech writing.14	-	-	intexpr.14	-
der	der	d	ART	-	no	direct.speech.4|reported.speech writing.14	-	-	-	-
Regierung	Regierung	Regierung	NN	-	no	direct.speech.4|reported.speech writing.14	-	speaker.14	-	-
,	,	,	$,	-	no	direct.speech.4	-	-	-	-
ich	ich	ich	PPER	-	no	direct.speech.4	-	speaker.5	-	-
kann	kann	können	VMFIN	-	no	direct.speech.4	-	-	-	-
euch	euch	ihr	PPER	-	no	direct.speech.4	-	-	-	-
nicht	nicht	nicht	PTKNEG	-	no	direct.speech.4	-	-	-	-
auflösen	auflösen	auflösen	VVINF	-	no	direct.speech.4	-	-	-	-
ohne	ohne	ohne	KOUI	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	-	-
euch	euch	ihr	PPER	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	-	-
Lebewohl	Lebewohl	Lebewohl	NN	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	-	-
zu	zu	zu	PTKZU	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	-	-
sagen	sagen	sagen	VVINF	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	intexpr.5	-
.	.	.	$.	-	no	direct.speech.4|reported.speech.5.nonfact	-	-	-	-
Jhr	Ihr	sie	PPER	-	yes	direct.speech.4	-	-	-	-
habt	habt	haben	VAFIN	-	no	direct.speech.4	-	-	-	-
schwere	schwere	schwer	ADJA	-	no	direct.speech.4	-	-	-	-
durch	durch	durch	APPR	-	no	direct.speech.4	-	-	-	-
die	die	d	ART	-	no	direct.speech.4	-	-	-	-
Vertheidigung	Verteidigung	Verteidigung	NN	-	no	direct.speech.4	-	-	-	-
des	des	d	ART	-	no	direct.speech.4	-	-	-	-
Landes	Landes	Land	NN	-	no	direct.speech.4	-	-	-	-
auferlegte	auferlegte	auferlegt	ADJA	-	no	direct.speech.4	-	-	-	-
Pflichten	Pflichten	Pflicht	NN	-	no	direct.speech.4	-	-	-	-
erfüllt	erfüllt	erfüllen	VVPP	-	no	direct.speech.4	-	-	-	-
.	.	.	$.	-	no	direct.speech.4	-	-	-	-
Jhr	Ihr	sie	PPER	-	yes	direct.speech.4	-	-	-	-
kehrt	kehrt	kehren	VVFIN	-	no	direct.speech.4	-	-	-	-
an	an	an	APPR	-	no	direct.speech.4	-	-	-	-
euren	euren	euer	PPOSAT	-	no	direct.speech.4	-	-	-	-
Herd	Herd	Herd	NN	-	no	direct.speech.4	-	-	-	-
mit	mit	mit	APPR	-	no	direct.speech.4	-	-	-	-
der	der	d	ART	-	no	direct.speech.4	-	-	-	-
Genugthuung	Genugtuung	Genugtuung	NN	-	no	direct.speech.4	-	-	-	-
der	der	d	ART	-	no	direct.speech.4	-	-	-	-
erfüllten	erfüllten	erfüllt	ADJA	-	no	direct.speech.4	-	-	-	-
Pflicht	Pflicht	Pflicht	NN	-	no	direct.speech.4	-	-	-	-
und	und	und	KON	-	no	direct.speech.4	-	-	-	-
geehrt	geehrt	ehren	VVPP	-	no	direct.speech.4	-	-	-	-
von	von	von	APPR	-	no	direct.speech.4	-	-	-	-
euren	euren	euer	PPOSAT	-	no	direct.speech.4	-	-	-	-
Landsleuten	Landsleuten	Landsleute	NN	-	no	direct.speech.4	-	-	-	-
zurück	zurück	zurück	PTKVZ	-	no	direct.speech.4	-	-	-	-
.	.	.	$.	-	no	direct.speech.4	-	-	-	-
Jch	Ich	ich	PPER	-	yes	direct.speech.4|reported.speech.6	-	speaker.6	-	-
habe	habe	haben	VAFIN	-	no	direct.speech.4|reported.speech.6	-	-	-	-
oft	oft	oft	ADV	-	no	direct.speech.4|reported.speech.6	-	-	-	-
eure	eure	euer	PPOSAT	-	no	direct.speech.4|reported.speech.6	-	-	-	-
Leiden	Leiden	Leiden	NN	-	no	direct.speech.4|reported.speech.6	-	-	-	-
beklagt	beklagt	beklagen	VVPP	-	no	direct.speech.4|reported.speech.6	-	-	intexpr.6	-
,	,	,	$,	-	no	direct.speech.4	-	-	-	-
eure	eure	euer	PPOSAT	-	no	direct.speech.4	-	-	-	-
Hingebung	Hingebung	Hingebung	NN	-	no	direct.speech.4	-	-	-	-
bewundert	bewundert	bewundern	VVPP	-	no	direct.speech.4	-	-	-	-
,	,	,	$,	-	no	direct.speech.4	-	-	-	-
ich	ich	ich	PPER	-	no	direct.speech.4	frame.8	speaker.8	-	-
habe	habe	haben	VAFIN	-	no	direct.speech.4	frame.8	-	-	-
begriffen	begriffen	begreifen	VVPP	-	no	direct.speech.4	frame.8	-	intexpr.8	-
daß	daß	daß	KOUS	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
ihr	ihr	sie	PPER	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
das	das	d	ART	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
Element	Element	Element	NN	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
einer	einer	eine	ART	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
Elite=Armee	Elitearmee	Elitearmee	NN	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
seid	seid	sein	VAFIN	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
,	,	,	$,	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
deren	deren	die	PRELAT	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
militärische	militärische	militärisch	ADJA	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
Reorganisation	Reorganisation	Reorganisation	NN	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
stattfinden	stattfinden	stattfinden	VVINF	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
wird	wird	werden	VAFIN	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
.	.	.	$.	-	no	direct.speech.4|indirect.thought.8.border=state	-	-	-	-
Die	Die	d	ART	-	yes	direct.speech.4	-	-	-	-
öffentliche	öffentliche	öffentlich	ADJA	-	no	direct.speech.4	-	-	-	-
Meinung	Meinung	Meinung	NN	-	no	direct.speech.4	-	-	-	-
wird	wird	werden	VAFIN	-	no	direct.speech.4	-	-	-	-
diejenigen	diejenigen	diejenige	PDS	-	no	direct.speech.4	-	-	-	-
strafen	strafen	strafen	VVINF	-	no	direct.speech.4	-	-	-	-
welche	welche	welche	PRELS	-	no	direct.speech.4	-	-	-	-
sich	sich	sich	PRF	-	no	direct.speech.4	-	-	-	-
der	der	d	ART	-	no	direct.speech.4	-	-	-	-
patriotischen	patriotischen	patriotisch	ADJA	-	no	direct.speech.4	-	-	-	-
Pflicht	Pflicht	Pflicht	NN	-	no	direct.speech.4	-	-	-	-
entzogen	entzogen	entziehen	VVPP	-	no	direct.speech.4	-	-	-	-
