tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Aber	Aber	aber	KON	CONJ.Coord.Aber	yes	-	frame.1	-	-	-
selbst	selbst	selbst	ADV	ADV	no	-	frame.1	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
wenn	wenn	wenn	KOUS	CONJ.SubFin.-	no	-	frame.1	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	frame.1	speaker.1	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	frame.1	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	-	frame.1	-	-	-
Hoffnung	Hoffnung	Hoffnung	NN	N.Reg.Dat.Sg.Fem	no	-	frame.1	-	intexpr.1	-
hingeben	hingeben	hingeben	VVINF	VINF.Full.-	no	-	frame.1	-	-	-
will	will	wollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.1.nonfact	-	-	-	-
die	die	der	ART	ART.Def.Nom.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
neue	neue	neu	ADJA	ADJA.Pos.Nom.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
Kommission	Kommission	Kommission	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
mehr	mehr	mehr	PIS	PRO.Indef.Attr.-.*.*.*	no	indirect.thought.1.nonfact	-	-	-	-
als	als	als	KOKOM	CONJ.Comp.-	no	indirect.thought.1.nonfact	-	-	-	-
einen	einen	ein	ART	ART.Indef.Acc.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
interessanten	interessanten	interessant	ADJA	ADJA.Pos.Acc.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
Bericht	Bericht	Bericht	NN	N.Reg.Acc.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
hervorbringen	hervorbringen	hervorbringen	VVFIN	VINF.Full.-	no	indirect.thought.1.nonfact	-	-	-	-
werde	werde	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Subj	no	indirect.thought.1.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
tut	tut	tun	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	-	-	-	-
sehr	sehr	sehr	ADV	ADV	no	-	-	-	-	-
gut	gut	gut	ADJD	ADJD.Pos	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
bescheiden	bescheiden	bescheiden	ADJD	VINF.Full.-	no	-	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	-	-	-	-
bleiben	bleiben	bleiben	VVINF	VINF.Full.-	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Nom.Sg.Masc	yes	-	frame.2	speaker.2	-	-
v.	v.	v.	APPRART	APPR.Dat	no	-	frame.2	speaker.2	-	-
Körber	Körbe	Korb	NN	N.Reg.Gen.Pl.Masc	no	-	frame.2	speaker.2	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	frame.2	-	-	-
dargelegt	dargelegt	darlegen	VVPP	VPP.Full.Psp	no	-	frame.2	-	intexpr.2	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.2	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.2	-	-	-	-
für	für	für	APPR	APPR.Acc	no	indirect.speech.2	-	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	indirect.speech.2	-	-	-	-
ihm	ihm	ihm	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	indirect.speech.2	-	-	-	-
vorschwebende	vorschwebende	vorschwebend	ADJA	ADJA.Pos.Acc.Sg.Fem	no	indirect.speech.2	-	-	-	-
Reform	Reform	Reform	NN	N.Reg.Acc.Sg.Fem	no	indirect.speech.2	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	indirect.speech.2	-	-	-	-
weniger	weniger	weniger	PIAT	PRO.Indef.Attr.-.*.*.*	no	indirect.speech.2	-	-	-	-
als	als	als	KOKOM	CONJ.Comp.-	no	indirect.speech.2	-	-	-	-
11	11	11	CARD	CARD	no	indirect.speech.2	-	-	-	-
Reichsgesetze	Reichsgesetze	Reichsgesetz	NN	N.Reg.Acc.Pl.Neut	no	indirect.speech.2	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	indirect.speech.2	-	-	-	-
je	je	je	ADV	ADV	no	indirect.speech.2	-	-	-	-
7	7	7	CARD	CARD	no	indirect.speech.2	-	-	-	-
Gesetze	Gesetze	Gesetz	NN	N.Reg.Nom.Pl.Neut	no	indirect.speech.2	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.speech.2	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Neut	no	indirect.speech.2	-	-	-	-
einzelnen	einzelnen	einzeln	ADJA	ADJA.Pos.Dat.Pl.Neut	no	indirect.speech.2	-	-	-	-
Ländern	Ländern	Land	NN	N.Reg.Dat.Pl.Neut	no	indirect.speech.2	-	-	-	-
notwendig	notwendig	notwendig	ADJD	ADJD.Pos	no	indirect.speech.2	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	indirect.speech.2	-	-	-	-
werden	werden	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	indirect.speech.2	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	indirect.speech.2	-	-	-	-
Man	Man	Man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	yes	-	frame.3	speaker.3	-	-
stelle	stelle	stellen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	-	frame.3	-	intexpr.3	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	frame.3	-	-	-
nun	nun	nun	ADV	ADV	no	-	frame.3	-	-	-
vor	vor	vor	PTKVZ	PART.Verb	no	-	frame.3	-	intexpr.3	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
welche	welche	welcher	PWAT	PRO.Inter.Attr.-.Acc.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
enorme	enorme	enorm	ADJA	ADJA.Pos.Acc.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
Arbeit	Arbeit	Arbeit	NN	N.Reg.Acc.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
dadurch	dadurch	dadurch	PAV	PROADV.Dem	no	indirect.thought.3.nonfact	-	-	-	-
selbst	selbst	selbst	ADV	ADV	no	indirect.thought.3.nonfact	-	-	-	-
dann	dann	dann	ADV	ADV	no	indirect.thought.3.nonfact	-	-	-	-
entstünde	entstünde	entstehen	VVFIN	VFIN.Full.3.Sg.Past.Subj	no	indirect.thought.3.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.thought.3.nonfact	-	-	-	-
wenn	wenn	wenn	KOUS	CONJ.SubFin.-	no	indirect.thought.3.nonfact	-	-	-	-
das	das	der	ART	ART.Def.Nom.Sg.Neut	no	indirect.thought.3.nonfact	-	-	-	-
Zustandebringen	Zustandebringen	Zustandebringen	NN	N.Reg.Nom.Sg.Neut	no	indirect.thought.3.nonfact	-	-	-	-
dieser	dieser	dieser	PDAT	PRO.Dem.Attr.-.Gen.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
Maßnahmen	Maßnahmen	Maßnahme	NN	N.Reg.Gen.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	indirect.thought.3.nonfact	-	-	-	-
durch	durch	durch	APPR	APPR.Acc	no	indirect.thought.3.nonfact	-	-	-	-
unzählige	unzählige	unzählig	ADJA	ADJA.Pos.Acc.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
Schwierigkeiten	Schwierigkeiten	Schwierigkeit	NN	N.Reg.Acc.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
gehemmt	gehemmt	hemmen	VVPP	VPP.Full.Psp	no	indirect.thought.3.nonfact	-	-	-	-
wäre	wäre	sein	VAFIN	VFIN.Sein.3.Sg.Past.Subj	no	indirect.thought.3.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.thought.3.nonfact	-	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
einerseits	einerseits	einerseits	ADV	ADV	no	indirect.thought.3.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.thought.3.nonfact	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
Rivalität	Rivalität	Rivalität	NN	N.Reg.Dat.Sg.Fem	no	indirect.thought.3.nonfact	-	-	-	-
zwischen	zwischen	zwischen	APPR	APPR.Zwischen	no	indirect.thought.3.nonfact	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
autonomen	autonomen	autonom	ADJA	ADJA.Pos.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
Ländern	Ländern	Land	NN	N.Reg.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	indirect.thought.3.nonfact	-	-	-	-
Gemeinden	Gemeinden	Gemeinde	NN	N.Reg.Dat.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	indirect.thought.3.nonfact	-	-	-	-
dem	dem	der	ART	ART.Def.Dat.Sg.Masc	no	indirect.thought.3.nonfact	-	-	-	-
Staate	Staate	Staate	NN	N.Reg.Dat.Sg.Masc	no	indirect.thought.3.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	indirect.thought.3.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.thought.3.nonfact	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
alles	alles	alle	PIAT	PRO.Indef.Subst.-.Nom.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
behindernden	behindernden	behindernd	ADJA	ADJA.Pos.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
nationalen	nationalen	national	ADJA	ADJA.Pos.Dat.Pl.Neut	no	indirect.thought.3.nonfact	-	-	-	-
Streitigkeiten	Streitigkeiten	Streitigkeit	NN	N.Reg.Dat.Pl.Fem	no	indirect.thought.3.nonfact	-	-	-	-
ihren	ihren	ihr	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Masc	no	indirect.thought.3.nonfact	-	-	-	-
Ursprung	Ursprung	Ursprung	NN	N.Reg.Acc.Sg.Masc	no	indirect.thought.3.nonfact	-	-	-	-
haben	haben	haben	VAFIN	VINF.Haben.-	no	indirect.thought.3.nonfact	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	indirect.thought.3.nonfact	-	-	-	-
Deshalb	Deshalb	deshalb	PAV	PROADV.Dem	yes	-	frame.4	-	-	-
gibt	gibt	geben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.4	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	frame.4	-	-	-
sehr	sehr	sehr	ADV	ADV	no	-	frame.4	-	-	-
viele	viele	vieler	PIAT	PRO.Indef.Attr.-.Acc.Pl.Masc	no	-	frame.4	-	-	-
angesehene	angesehene	angesehen	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	frame.4	-	-	-
Fachmänner	Fachmänner	Fachmann	NN	N.Reg.Acc.Pl.Masc	no	-	frame.4	speaker.4	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.4	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Masc	no	-	frame.4	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	-	frame.4	-	-	-
Meinung	Meinung	Meinung	NN	N.Reg.Acc.Sg.Fem	no	-	frame.4	-	intexpr.4	-
vertreten	vertreten	vertreten	VVPP	VFIN.Full.3.Pl.Pres.Ind	no	-	frame.4	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.4	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech thought.4	-	-	-	-
eine	eine	ein	ART	ART.Indef.Nom.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
vollständige	vollständige	vollständig	ADJA	ADJA.Pos.Nom.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
Ueberwindung	Überwindung	Überwindung	NN	N.Reg.Nom.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Masc	no	indirect.speech thought.4	-	-	-	-
Uebelstände	Übelstände	Übelstand	NN	N.Reg.Gen.Pl.Masc	no	indirect.speech thought.4	-	-	-	-
erst	erst	erst	ADV	ADV	no	indirect.speech thought.4	-	-	-	-
dann	dann	dann	ADV	ADV	no	indirect.speech thought.4	-	-	-	-
möglich	möglich	möglich	ADJD	ADJD.Pos	no	indirect.speech thought.4	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	indirect.speech thought.4	-	-	-	-
würde	würde	werden	VAFIN	VFIN.Aux.3.Sg.Past.Subj	no	indirect.speech thought.4	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.speech thought.4	-	-	-	-
wenn	wenn	wenn	KOUS	CONJ.SubFin.-	no	indirect.speech thought.4	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.Masc	no	indirect.speech thought.4	-	-	-	-
nationalen	nationalen	national	ADJA	ADJA.Pos.Nom.Pl.Masc	no	indirect.speech thought.4	-	-	-	-
Gegensätze	Gegensätze	Gegensatz	NN	N.Reg.Nom.Pl.Masc	no	indirect.speech thought.4	-	-	-	-
durch	durch	durch	APPR	APPR.Acc	no	indirect.speech thought.4	-	-	-	-
eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
befriedigende	befriedigende	befriedigend	ADJA	ADJA.Pos.Acc.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
Ordnung	Ordnung	Ordnung	NN	N.Reg.Acc.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
aller	aller	aller	PIAT	PRO.Indef.Attr.-.Gen.Pl.Fem	no	indirect.speech thought.4	-	-	-	-
nationalen	nationalen	national	ADJA	ADJA.Pos.Gen.Pl.Fem	no	indirect.speech thought.4	-	-	-	-
Angelegenheiten	Angelegenheiten	Angelegenheit	NN	N.Reg.Gen.Pl.Fem	no	indirect.speech thought.4	-	-	-	-
aus	aus	aus	APPR	APPR.Dat	no	indirect.speech thought.4	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
Welt	Welt	Welt	NN	N.Reg.Dat.Sg.Fem	no	indirect.speech thought.4	-	-	-	-
geschafft	geschafft	schaffen	VVPP	VPP.Full.Psp	no	indirect.speech thought.4	-	-	-	-
wären	wären	sein	VAFIN	VFIN.Sein.3.Pl.Past.Subj	no	indirect.speech thought.4	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	indirect.speech thought.4	-	-	-	-
Doch	Doch	doch	KON	CONJ.Coord.Doch	yes	-	-	-	-	-
wie	wie	wie	PWAV	CONJ.Comp.-	no	-	-	-	-	-
weit	weit	weit	ADJD	ADJD.Pos	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.1.Pl.Pres.Ind	no	-	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
noch	noch	noch	ADV	ADV	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
idealen	idealen	ideal	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Zeit	Zeit	Zeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
entfernt	entfernt	entfernt	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Fem	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.*	no	-	-	-	-	-
Deutschen	Deutschen	deutsche	NN	N.Reg.Nom.Pl.*	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Czechen	Zechen	Zechen	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	der	PRELS	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Polen	Polen	Pole	NE	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Ruthenen	Ruthenen	Ruthene	NN	N.Reg.Nom.Pl.*	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Slowenen	Slowenen	Slowene	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Italiener	Italiener	Italiener	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
einander	einander	einander	ADV	ADV	no	-	-	-	-	-
brüderlich	brüderlich	brüderlich	ADJD	ADJD.Pos	no	-	-	-	-	-
umarmen	umarmen	umarmen	VVINF	VINF.Full.-	no	-	-	-	-	-
werden	werden	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	-	-	-	-	-
!	!	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Aus	Aus	Aus	APPR	APPR.Dat	yes	-	-	-	-	-
diesem	diesem	dieser	PDAT	PRO.Dem.Attr.-.Dat.Sg.Masc	no	-	-	-	-	-
Grunde	Grunde	Grund	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	-	-	-	-
zufrieden	zufrieden	zufrieden	ADJD	ADJD.Pos	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
müssen	müssen	müssen	VMFIN	VINF.Mod.-	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
wenn	wenn	wenn	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
vorläufig	vorläufig	vorläufig	ADJD	ADJD.Pos	no	-	-	-	-	-
wenigstens	wenigstens	wenigstens	ADV	ADV	no	-	-	-	-	-
einige	einige	einiger	PIAT	PRO.Indef.Attr.-.Nom.Pl.Fem	no	-	-	-	-	-
Verbesserungen	Verbesserungen	Verbesserung	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
herbeigeführt	herbeigeführt	herbeiführen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	werden	werden	VAINF	VINF.Aux.-	no	-	-	-	-	-
können	können	können	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	In	in	APPR	APPR.In	yes	reported.writing.5	-	-	-	-
welcher	welcher	welcher	PWAT	PRO.Inter.Attr.-.Dat.Sg.Fem	no	reported.writing.5	-	-	-	-
Richtung	Richtung	Richtung	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.5	-	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	reported.writing.5	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.writing.5	-	-	-	-
dabei	dabei	dabei	PAV	PROADV.Dem	no	reported.writing.5	-	-	-	-
bewegen	bewegen	bewegen	VVINF	VINF.Full.-	no	reported.writing.5	-	-	-	-
müßte	müßte	müssen	VMFIN	VFIN.Mod.3.Sg.Past.Subj	no	reported.writing.5	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	reported.writing.5	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	reported.writing.5	-	-	-	-
eben	eben	eben	ADV	ADV	no	reported.writing.5	-	-	-	-
jetzt	jetzt	jetzt	ADV	ADV	no	reported.writing.5	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	reported.writing.5	-	-	-	-
