tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Das	Das	der	ART	ART.Def.Nom.Sg.Neut	yes	-	-	-	-	-
Possirlichste	Possirlichste	Possirlichste	ADJA	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
hierbei	hierbei	hierbei	ADV	ADV	no	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
nur	nur	nur	ADV	ADV	no	-	-	-	-	-
dies	dies	dieser	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
unsere	unsere	unser	PPOSAT	PRO.Poss.Attr.-.Nom.Pl.Masc	no	-	-	-	-	-
sonst	sonst	sonst	ADV	ADV	no	-	-	-	-	-
so	so	so	ADV	ADV	no	-	-	-	-	-
prüden	prüden	prüden	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
ängstlichen	ängstlichen	ängstlich	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Chrestomathienschreiber	Chrestomathienschreiber	Chrestomathienschreiber	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
diesen	diesen	dieser	PDAT	PRO.Dem.Attr.-.Acc.Sg.Masc	no	-	-	-	-	-
klassischen	klassischen	klassisch	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
Monolog	Monolog	Monolog	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
worin	worin	worin	PWAV	PROADV.Inter	no	reported.speech.24	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.speech.24	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	reported.speech.24	-	-	-	-
Schweizerheld	Schweizerheld	Schweizerheld	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.24	-	speaker.24	-	-
über	über	über	APPR	APPR.über	no	reported.speech.24	-	-	-	-
einen	einen	ein	ART	ART.Indef.Acc.Sg.Masc	no	reported.speech.24	-	-	-	-
beabsichtigten	beabsichtigten	beabsichtigt	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.speech.24	-	-	-	-
Meuchelmord	Meuchelmord	Meuchelmord	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.24	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	reported.speech.24	-	-	-	-
sentimentalen	sentimentalen	sentimental	ADJA	ADJA.Pos.Dat.Pl.Masc	no	reported.speech.24	-	-	-	-
Sophismen	Sophismen	Sophismus	NN	N.Reg.Dat.Pl.Masc	no	reported.speech.24	-	-	-	-
tröstet	tröstet	trösten	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	reported.speech.24	-	-	intexpr.24	-
