tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Neunzehn	-	neunzehn	CARD	CARD	yes	-	-	-	-	-
Jahr	-	Jahr	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
alt	-	alt	ADJD	ADJD.Pos	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
lang	-	lang	ADJD	ADJD.Pos	no	-	-	-	-	-
aufgeschossen	-	aueschießen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
wie	-	wie	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Nom.Sg.Fem	no	-	-	-	-	-
Erle	-	Erle	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
blond	-	blond	ADJD	ADJD.Pos	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
hellblauen	-	hellblau	ADJA	ADJA.Pos.Dat.Pl.Neut	no	-	-	-	-	-
Augen	-	Auge	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	-	frame.1	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Acc.Pl.Neut	no	-	frame.1	-	-	-
man	-	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	frame.1	speaker.1	-	-
glaubt	-	glauben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
bis	-	bis	KON	APPR.Bis	no	indirect.thought.1	-	-	-	-
ins	-	in	APPRART	APPRART.Acc.Sg.Neut	no	indirect.thought.1	-	-	-	-
Gehirn	-	Gehirn	NN	N.Reg.Acc.Sg.Neut	no	indirect.thought.1	-	-	-	-
sehen	-	sehen	VVINF	VINF.Full.-	no	indirect.thought.1	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	indirect.thought.1	-	-	-	-
können	-	können	VMINF	VINF.Mod.-	no	indirect.thought.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.thought.1	-	-	-	-
Ich	-	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	yes	-	-	-	-	-
höre	-	hören	VVFIN	VFIN.Full.1.Sg.Pres.Ind	no	-	-	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	-	-	-	-	-
oft	-	oft	ADV	ADV	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Nebenzimmer	-	Nebenzimmer	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
