tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Einst	-	einst	ADV	ADV	yes	-	-	-	-	-
gieng	-	gieng	ADJD	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
einzige	-	einzig	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Sohn	-	Sohn	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
eines	-	ein	ART	ART.Indef.Gen.Sg.Masc	no	-	-	-	-	-
Försters	-	Förster	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
mehreren	-	mehrere	PIAT	PRO.Indef.Subst.-.Dat.Pl.Neut	no	-	-	-	-	-
seiner	-	sein	PPOSAT	PRO.Poss.Attr.-.Gen.Pl.Masc	no	-	-	-	-	-
Freunde	-	Freund	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Jagd	-	Jagd	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	reported.speech.1	-	-	-	-
kamen	-	kommen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	reported.speech.1	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	reported.speech.1	-	-	-	-
dieß	-	dassen	NE	ADJD.Pos	no	reported.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.1	-	-	-	-
das	-	der	ART	PRO.Dem.Subst.-.Acc.Sg.Neut	no	reported.speech.1	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	reported.speech.1	-	-	-	-
sprechen	-	sprechen	VVINF	VINF.Full.-	no	reported.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.1	-	-	-	-
unter	-	unter	APPR	APPR.Unter	no	reported.speech.1	-	-	-	-
anderem	-	anderer	PIS	PRO.Indef.Subst.-.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
auch	-	auch	ADV	ADV	no	reported.speech.1	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	reported.speech.1	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	reported.speech.1	-	-	-	-
Gübichenstein	-	Gübichenstein	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	indirect.speech.2	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.2	-	-	-	-
daselbst	-	daselbst	ADV	ADV	no	indirect.speech.2	-	-	-	-
schon	-	schon	ADV	ADV	no	indirect.speech.2	-	-	-	-
so	-	so	ADV	ADV	no	indirect.speech.2	-	-	-	-
mancher	-	mancher	PIS	PRO.Indef.Subst.-.Nom.Sg.Masc	no	indirect.speech.2	-	-	-	-
sein	-	sein	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Neut	no	indirect.speech.2	-	-	-	-
Leben	-	Leben	NN	N.Reg.Acc.Sg.Neut	no	indirect.speech.2	-	-	-	-
habe	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	indirect.speech.2	-	-	-	-
einbüßen	-	einbüßen	VVINF	VINF.Full.-	no	indirect.speech.2	-	-	-	-
müßen	-	müßen	VVINF	VINF.Full.-	no	indirect.speech.2	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.speech.2	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Försterssohn	-	Försterssohn	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
schon	-	schon	ADV	ADV	no	-	-	-	-	-
vielerwärts	-	vielerwärts	ADV	ADJD.Pos	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Welt	-	Welt	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
gewesen	-	sein	VAPP	VPP.Sein.Psp	no	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
glaubte	-	glauben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.thought.3	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	reported.thought.3	-	-	-	-
an	-	an	APPR	APPR.An	no	reported.thought.3	-	-	-	-
diese	-	dieser	PDAT	PRO.Dem.Attr.-.Acc.Pl.Fem	no	reported.thought.3	-	-	-	-
Geschichten	-	Geschichte	NN	N.Reg.Acc.Pl.Fem	no	reported.thought.3	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
hatte	-	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	-	-	-	-	-
große	-	groß	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Lust	-	Lust	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
auch	-	auch	ADV	ADV	no	-	-	-	-	-
einmal	-	einmal	ADV	ADV	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Berg	-	Berg	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	-	-	-	-	-
besteigen	-	besteigen	VVINF	VINF.Full.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Pl.Masc	no	reported.speech.4	-	-	-	-
Freunde	-	Freund	NN	N.Reg.Nom.Pl.Masc	no	reported.speech.4	-	-	-	-
riethen	-	riethen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	reported.speech.4	-	-	-	-
ihm	-	ihm	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	reported.speech.4	-	-	-	-
ab	-	ab	PTKVZ	PART.Verb	no	reported.speech.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	-	-	-	-
so	-	so	ADV	ADV	no	reported.speech.4	-	-	-	-
viel	-	viel	ADV	ADV	no	reported.speech.4	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	reported.speech.4	-	-	-	-
nur	-	nur	ADV	ADV	no	reported.speech.4	-	-	-	-
konnten	-	können	VMFIN	VFIN.Mod.3.Pl.Past.Ind	no	reported.speech.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	-	-	-	-
erzählten	-	erzählen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	reported.speech.4	-	-	-	-
