tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Jtalien	-	Jtalien	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Mailand	-	Mailand	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
29.	-	29.	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Juli	-	Juli	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
am	-	an	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
28.	-	28.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
d	-	d	NN	N.Name.*.*.*	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
erwartete	-	erwartet	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
republikanische	-	republikanisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Demonstration	-	Demonstration	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
stattgefunden	-	stattfinden	VVPP	VPP.Full.Psp	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
dagegen	-	dagegen	PAV	PROADV.Dem	no	-	frame.1	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
heißt	-	heißen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	frame.1	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	indirect.speech.1.border=unspec	-	-	-	-
rumore	-	rumore	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	indirect.speech.1.border=unspec	-	-	-	-
unter	-	unter	APPR	APPR.Unter	no	indirect.speech.1.border=unspec	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	indirect.speech.1.border=unspec	-	-	-	-
Volke	-	Volke	NN	N.Reg.Dat.Sg.Neut	no	indirect.speech.1.border=unspec	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	indirect.speech.1.border=unspec	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	indirect.speech.1.border=unspec	-	-	-	-
könne	-	können	VMFIN	VFIN.Mod.3.Sg.Pres.Subj	no	indirect.speech.1.border=unspec	-	-	-	-
Auftritte	-	Auftritt	NN	N.Reg.Acc.Pl.Masc	no	indirect.speech.1.border=unspec	-	-	-	-
geben	-	geben	VVINF	VINF.Full.-	no	indirect.speech.1.border=unspec	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.speech.1.border=unspec	-	-	-	-
Gestern	-	Gestern	ADV	ADV	yes	-	-	-	-	-
ging	-	gehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Deputation	-	Deputation	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
