tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Telephonische	Telephonische	telephonisch	ADJA	ADJA.Pos.Nom.Pl.Fem	yes	-	-	-	-	-
Nachrichten	Nachrichten	Nachricht	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
„	&quot;	&quot;	$(	TRUNC.Noun	no	-	-	-	-	-
Mähr	Mär	Mär	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Tagblattes	Tagblattes	Tagblatt	NN	ADJA.Pos.Nom.Sg.Neut	yes	-	-	-	-	-
“	&quot;	&quot;	$(	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	der	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Vicebürgermeisterwahl	Vizebürgermeisterwahl	Vizebürgermeisterwahl	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
Wien	Wien	Wien	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wien	Wien	Wien	FM.la	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
22.	22	22	FM.la	CARD	yes	-	-	-	-	-
Mai	Mai	Mai	FM.la	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	dato	--	FM.la	ADV	yes	-	-	-	-	-
Heute	Heute	heute	ADV	ADV	yes	-	-	-	-	-
Vormittags	Vormittags	Vormittag	ADV	ADV	no	-	-	-	-	-
fand	fand	finden	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Wahl	Wahl	Wahl	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
beiden	beiden	beide	PIAT	PRO.Indef.Attr.-.Gen.Pl.Masc	no	-	-	-	-	-
Wiener	Wiener	Wiener	ADJA	ADJA.Pos.*.*.*	no	-	-	-	-	-
Vicebürgermeister	Vizebürgermeister	Vizebürgermeister	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
statt	statt	statt	PTKVZ	PART.Verb	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	-	-	-	-
der	der	der	ART	PRO.Rel.Subst.-.Dat.Sg.Fem	no	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Carl	Carl	Carl	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
Lueger	Lüger	Lüger	NN	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
zum	zum	zu	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
ersten	ersten	erster	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
Josef	Josef	Josef	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
Neumayer	Neumayer	Neumayer	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
zum	zum	zu	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
zweiten	zweiten	zweiter	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Vicebürgermeister	Vizebürgermeister	Vizebürgermeister	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
zwar	zwar	zwar	ADV	ADV	no	-	-	-	-	-
beide	beide	beide	PIS	PRO.Indef.Subst.-.Nom.Pl.*	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	-	-	-	-	-
95	95	95	CARD	CARD	yes	-	-	-	-	-
Stimmen	Stimmen	Stimme	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
gewählt	gewählt	wählen	VVPP	VPP.Full.Psp	yes	-	-	-	-	-
wurden	wurden	werden	VAFIN	VFIN.Aux.3.Pl.Past.Ind	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	der	ART	ART.Def.Nom.Pl.Masc	yes	-	-	-	-	-
übrigen	übrigen	übrig	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
41	41	41	CARD	CARD	yes	-	-	-	-	-
Stimmen	Stimmen	Stimme	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
erhielt	erhielt	erhalten	VVFIN	VFIN.Full.3.Sg.Past.Ind	yes	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Candidat	Kandidat	Kandidat	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.*	yes	-	-	-	-	-
Liberalen	Liberalen	liberale	NN	N.Reg.Gen.Pl.*	yes	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
Vogler.	Vogler.	Vogler.	NE	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Nom.Sg.Masc	yes	reported.speech.2	-	speaker.2	-	-
Lueger	Lüger	Lüger	NN	N.Name.Nom.Sg.Masc	yes	reported.speech.2	-	speaker.2	-	-
dankte	dankte	danken	VVFIN	VFIN.Full.3.Sg.Past.Ind	yes	reported.speech.2	-	-	intexpr.2	-
für	für	für	APPR	APPR.Acc	no	reported.speech.2	-	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	reported.speech.2	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	reported.speech.2	-	-	-	-
ihn	ihn	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	reported.speech.2	-	-	-	-
gefallene	gefallene	gefallen	ADJA	ADJA.Pos.Acc.Sg.Fem	no	reported.speech.2	-	-	-	-
Wahl	Wahl	Wahl	NN	N.Reg.Acc.Sg.Fem	no	reported.speech.2	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
erklärte	erklärte	erklären	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.2	-	-	intexpr.2	-
