tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
»	&quot;	&quot;	$(	CARD	yes	direct.speech.1	-	-	-	-
Christinnen	Christinnen	Christin	NN	N.Reg.Nom.Pl.Fem	no	direct.speech.1	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.1	-	-	-	-
«	&quot;	&quot;	$(	CARD	no	direct.speech.1	-	-	-	-
sagte	sagte	sagen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.1	-	intexpr.1	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	frame.1	speaker.1	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	frame.1	-	-	-
»	&quot;	&quot;	$(	N.Reg.Nom.Sg.Masc	yes	direct.speech.2	-	-	-	-
Du	Du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	no	direct.speech.2	-	-	-	-
aber	aber	aber	ADV	ADV	no	direct.speech.2	-	-	-	-
bist	bist	sein	VAFIN	VFIN.Sein.2.Sg.Pres.Ind	no	direct.speech.2	-	-	-	-
ein	ein	eine	ART	ART.Indef.Nom.Sg.Neut	no	direct.speech.2	-	-	-	-
jüdisch	jüdisch	jüdisch	ADJA	ADJD.Pos	no	direct.speech.2	-	-	-	-
Kind	Kind	Kind	NN	N.Reg.Nom.Sg.Neut	no	direct.speech.2	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
Du	Du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	yes	direct.speech.2	-	-	-	-
wirst	wirst	werden	VAFIN	VFIN.Aux.2.Sg.Pres.Ind	no	direct.speech.2	-	-	-	-
die	die	d	ART	ART.Def.Acc.Pl.Neut	no	direct.speech.2	-	-	-	-
Lieder	Lieder	Lied	NN	N.Reg.Acc.Pl.Neut	no	direct.speech.2	-	-	-	-
nie	nie	nie	ADV	ADV	no	direct.speech.2	-	-	-	-
mehr	mehr	mehr	ADV	ADV	no	direct.speech.2	-	-	-	-
singen	singen	singen	VVINF	VINF.Full.-	no	direct.speech.2	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.speech.2	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	direct.speech.2	-	-	-	-
wahr	wahr	wahr	PTKVZ	PART.Verb	no	direct.speech.2	-	-	-	-
?	?	?	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
Und	Und	und	KON	CONJ.Coord.-	yes	direct.speech.2	-	-	-	-
wirst	wirst	werden	VAFIN	VFIN.Aux.2.Sg.Pres.Ind	no	direct.speech.2	-	-	-	-
immer	immer	immer	ADV	ADV	no	direct.speech.2	-	-	-	-
mein	mein	mein	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Neut	no	direct.speech.2	-	-	-	-
gut	gut	gut	ADJD	ADJD.Pos	no	direct.speech.2	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.speech.2	-	-	-	-
brav	brav	brav	ADJD	ADJD.Pos	no	direct.speech.2	-	-	-	-
Miriamchen	Miriammchen	Miriammechen	NN	N.Reg.Acc.Pl.Fem	no	direct.speech.2	-	-	-	-
bleiben	bleiben	bleiben	VVINF	VINF.Full.-	no	direct.speech.2	-	-	-	-
?	?	?	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
«	&quot;	&quot;	$(	CARD	no	direct.speech.2	-	-	-	-
»	&quot;	&quot;	$(	N.Reg.*.*.Neut	yes	direct.speech.3	-	-	-	-
Ja	Ja	ja	PTKANT	PART.Ans	no	direct.speech.3	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.3	-	-	-	-
«	&quot;	&quot;	$(	CARD	no	direct.speech.3	-	-	-	-
lachte	lachte	lachen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.3	-	intexpr.3	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	-	frame.3	speaker.3	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	frame.3	-	-	-
»	&quot;	&quot;	$(	CARD	yes	direct.speech.4	-	-	-	-
Aber	Aber	aber	KON	CONJ.Coord.Aber	no	direct.speech.4	-	-	-	-
nun	nun	nun	ADV	ADV	no	direct.speech.4	-	-	-	-
komm	komme	kommen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.4	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.4	-	-	-	-
«	&quot;	&quot;	$(	ADJA.Pos.Acc.Sg.Neut	no	direct.speech.4	-	-	-	-
»	&quot;	&quot;	$(	N.Reg.Acc.Sg.Neut	yes	direct.speech.5	-	-	-	-
Nein	Nein	nein	PTKANT	PART.Ans	no	direct.speech.5	-	-	-	-
«	&quot;	&quot;	$(	TRUNC.Noun	no	direct.speech.5	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.5	-	-	-
sagte	sagte	sagen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.5	-	intexpr.5	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	frame.5	speaker.5	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.5	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	frame.5	-	-	-
seine	seine	seine	PPOSAT	PRO.Poss.Attr.-.Nom.Sg.Fem	no	-	frame.5	-	-	-
Stimme	Stimme	Stimme	NN	N.Reg.Nom.Sg.Fem	no	-	frame.5	-	-	-
klang	klang	klingen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.5	-	-	-
bewegt	bewegt	bewegt	ADJD	ADJD.Pos	no	-	frame.5	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.5	-	-	-
ja	ja	ja	PTKANT	ADV	no	-	frame.5	-	-	-
feierlich	feierlich	feierlich	ADJD	ADJD.Pos	no	-	frame.5	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.5	-	-	-
»	&quot;	&quot;	$(	TRUNC.Noun	no	direct.speech.5	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	direct.speech.5	-	-	-	-
so	so	so	ADV	ADV	no	direct.speech.5	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.5	-	-	-	-
«	&quot;	&quot;	$(	CARD	no	direct.speech.5	-	-	-	-
Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	yes	-	-	-	-	-
blieb	blieb	bleiben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
stehen	stehen	stehen	PTKVZ	PART.Verb	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
legte	legte	legen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
ihr	ihr	sie	PPER	PRO.Pers.Subst.3.Dat.Sg.Fem	no	-	-	-	-	-
die	die	d	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Hand	Hand	Hand	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
aufs	aufs	aufs	APPRART	APPRART.Acc.Sg.Neut	no	-	-	-	-	-
Haupt	Haupt	Haupt	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
»	&quot;	&quot;	$(	CARD	yes	direct.speech.6	-	-	-	-
Du	Du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	no	direct.speech.6	-	-	-	-
bist	bist	sein	VAFIN	VFIN.Sein.2.Sg.Pres.Ind	no	direct.speech.6	-	-	-	-
mein	mein	mein	PPOSAT	PRO.Poss.Attr.-.Nom.Sg.Neut	no	direct.speech.6	-	-	-	-
einzig	einzig	einzig	ADJD	ADJD.Pos	no	direct.speech.6	-	-	-	-
Glück	Glück	Glück	NN	N.Reg.Acc.Sg.Neut	no	direct.speech.6	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	direct.speech.6	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	direct.speech.6	-	-	-	-
Welt	Welt	Welt	NN	N.Reg.Dat.Sg.Fem	no	direct.speech.6	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.speech.6	-	-	-	-
du	du	du	PPER	PRO.Pers.Subst.2.Nom.Sg.*	no	direct.speech.6|reported.speech.7.nonfact	-	-	-	-
mußt	mußt	müssen	VMFIN	VFIN.Mod.2.Sg.Pres.Ind	no	direct.speech.6|reported.speech.7.nonfact	-	-	-	-
