tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Jedes	Jedes	jeder	PIAT	PRO.Indef.Attr.-.Nom.Sg.Neut	yes	-	-	-	-	-
Volk	Volk	Volk	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
seinem	seinem	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Masc	no	-	-	-	-	-
Verlaufe	Verlaufe	Verlauf	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
so	so	so	ADV	ADV	no	-	-	-	-	-
viele	viele	vieler	PIAT	PRO.Indef.Attr.-.Acc.Pl.Neut	no	-	-	-	-	-
Opfer	Opfer	Opfer	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
gebracht	gebracht	bringen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	reported.thought.1.nonfact	-	-	-	-
an	an	an	APPR	APPR.An	no	reported.thought.1.nonfact	-	-	-	-
einen	einen	ein	ART	ART.Indef.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
annähernden	annähernden	annähernd	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
Ersatz	Ersatz	Ersatz	NN	N.Reg.Acc.Sg.Masc	no	reported.thought.1.nonfact	-	-	-	-
derselben	derselben	derselbe	PDS	PRO.Dem.Subst.-.Gen.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	reported.thought.1.nonfact	-	-	-	-
gedacht	gedacht	denken	VVPP	VPP.Full.Psp	no	reported.thought.1.nonfact	-	-	intexpr.1	-
werden	werden	werden	VAINF	VINF.Aux.-	no	reported.thought.1.nonfact	-	-	-	-
kann	kann	können	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	reported.thought.1.nonfact	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	reported.thought.1.nonfact	-	-	-	-
Und	Und	und	KON	CONJ.Coord.-	yes	-	frame.10	-	-	-
dann	dann	dann	ADV	ADV	no	-	frame.10	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	frame.10	-	-	-
noch	noch	noch	ADV	ADV	no	-	frame.10	-	-	-
eines	eines	ein	PIS	PRO.Indef.Subst.-.Nom.Sg.Neut	no	-	frame.10	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	frame.10	-	-	-
bedenken	bedenken	bedenken	VVINF	VINF.Full.-	no	-	frame.10	-	intexpr.10	-
:	:	--	$.	SYM.Pun.Colon	no	-	frame.10	-	-	-
Der	Der	der	ART	ART.Def.Nom.Sg.Masc	yes	direct.speech.10.nonfact	-	-	-	-
lange	lange	lange	ADJA	ADJA.Pos.Nom.Sg.Masc	no	direct.speech.10.nonfact	-	-	-	-
Krieg	Krieg	Krieg	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.10.nonfact	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	direct.speech.10.nonfact	-	-	-	-
unsere	unsere	unser	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Fem	no	direct.speech.10.nonfact	-	-	-	-
ganze	ganze	ganz	ADJA	ADJA.Pos.Acc.Sg.Fem	no	direct.speech.10.nonfact	-	-	-	-
Volkswirtschaft	Volkswirtschaft	Volkswirtschaft	NN	N.Reg.Acc.Sg.Fem	no	direct.speech.10.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	direct.speech.10.nonfact	-	-	-	-
ihren	ihren	ihr	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Neut	no	direct.speech.10.nonfact	-	-	-	-
Fundamenten	Fundamenten	Fundament	NN	N.Reg.Dat.Pl.Neut	no	direct.speech.10.nonfact	-	-	-	-
erschüttert	erschüttert	erschüttern	VVPP	VPP.Full.Psp	no	direct.speech.10.nonfact	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	direct.speech.10.nonfact	-	-	-	-
Jahrzehntelang	Jahrzehntelang	Jahrzehntelang	ADJD	ADJD.Pos	yes	-	-	-	-	-
unermüdliche	unermüdliche	unermüdlich	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Arbeit	Arbeit	Arbeit	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
zerstört	zerstört	zerstören	VVPP	VPP.Full.Psp	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
vernichtet	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	Der	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Gewinn	Gewinn	Gewinn	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
