tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Edgar	Edgar	Edgar	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
Allan	Allan	Allan	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Poe	Poe	Poe	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Hinab	Hinab	hinab	ADV	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
den	den	d	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Maelström	Maelström	Maelström	NE	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Pl.Masc	yes	-	-	-	-	-
Wege	Wege	Weg	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
Gottes	Gottes	Gott	NN	N.Name.Gen.Sg.Masc	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Natur	Natur	Natur	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
wie	wie	wie	KOKOM	CONJ.Coord.Wie	no	-	-	-	-	-
auch	auch	auch	ADV	ADV	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Vorsehung	Vorsehung	Vorsehung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
wie	wieunsereWege	Wieunserewege	NE	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
unsere				N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
Wege	;	;	$.	SYM.Pun.Sent	yes	-	-	-	-	-
;	;	;	$.	SYM.Pun.Sent	no	-	-	-	-	-
noch	noch	noch	ADV	ADV	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Pl.Neut	no	-	-	-	-	-
Dinge	Dinge	Ding	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	die	PRELS	PRO.Rel.Subst.-.Acc.Pl.Neut	no	-	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
bilden	bilden	bilden	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
irgendwie	irgendwie	irgendwie	ADV	ADV	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Unendlichkeit	Unendlichkeit	Unendlichkeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Abgründigkeit	Abgründigkeit	Abgründigkeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Unerforschlichkeit	Unerforschlichkeit	Unerforschlichkeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
