tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
„Sie	-	„sie	NN	N.Reg.Nom.Pl.Masc	yes	direct.speech.1	-	-	-	-
haben	-	haben	VAFIN	VFIN.Haben.3.Pl.Pres.Ind	no	direct.speech.1	-	-	-	-
mich	-	mich	PRF	PRO.Pers.Subst.1.Acc.Sg.*	no	direct.speech.1	-	-	-	-
alle	-	aller	PIAT	PRO.Indef.Subst.-.Acc.Pl.*	no	direct.speech.1	-	-	-	-
nur	-	nur	ADV	ADV	no	direct.speech.1	-	-	-	-
Lo	-	Lo	NE	FM	no	direct.speech.1	-	-	-	-
genannt	-	nennen	VVPP	VPP.Full.Psp	no	direct.speech.1	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	direct.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech.1	-	-	-	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	direct.speech.1	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.1.Pl.Pres.Ind	no	direct.speech.1	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	direct.speech.1	-	-	-	-
bunte	-	bunt	ADJA	ADJA.Pos.Acc.Pl.Fem	no	direct.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech.1	-	-	-	-
viele	-	vieler	PIAT	PRO.Indef.Attr.-.Nom.Pl.Neut	no	direct.speech.1	-	-	-	-
Länder	-	Land	NN	N.Reg.Nom.Pl.Neut	no	direct.speech.1	-	-	-	-
gezogen	-	ziehen	VVPP	VPP.Full.Psp	no	direct.speech.1	-	-	-	-
,"	-	,"	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
antwortete	-	antworten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.1	-	intexpr.1	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Acc.*.*	no	-	frame.1	speaker.1	-	-
hastig	-	hastig	ADJD	ADJD.Pos	no	-	frame.1	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	frame.1	-	-	-
„Woher	-	„woher	ADV	N.Reg.Nom.Sg.Masc	yes	direct.speech.2	-	-	-	-
