tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Cabet	-	Cabet	NE	N.Name.Nom.Sg.*	yes	-	-	-	-	-
vermeidet	-	vermeiden	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Acc.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Weg	-	Weg	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Gewalt	-	Gewalt	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	-	-	-	-	-
predigen	-	predigen	VVINF	VINF.Full.-	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
will	-	wollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
allmälige	-	allmälig	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Umwandelung	-	Umwandelung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Gesellschaft	-	Gesellschaft	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
communistische	-	communistisch	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Gemeinschaft	-	Gemeinschaft	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
dadurch	-	dadurch	PAV	PROADV.Dem	no	-	-	-	-	-
herstellen	-	herstellen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	-	frame.1	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	frame.1	speaker.1	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
sobald	-	sobald	KOUS	CONJ.SubFin.-	no	-	frame.1	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	-	frame.1	-	-	-
Princip	-	Princip	NN	N.Reg.Nom.Sg.Neut	no	-	frame.1	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	frame.1	-	-	-
Gemeinschaft	-	Gemeinschaft	NN	N.Reg.Gen.Sg.Fem	no	-	frame.1	-	-	-
von	-	von	APPR	APPR.Dat	no	-	frame.1	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	frame.1	-	-	-
Majorität	-	Majorität	NN	N.Reg.Dat.Sg.Fem	no	-	frame.1	-	-	-
eines	-	ein	ART	ART.Indef.Gen.Sg.Neut	no	-	frame.1	-	-	-
Volkes	-	Volk	NN	N.Reg.Gen.Sg.Neut	no	-	frame.1	-	-	-
anerkannt	-	anerkennen	VVPP	VPP.Full.Psp	no	-	frame.1	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
erwartet	-	erwarten	VVPP	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.1	-	-	-	-
nun	-	nun	ADV	ADV	no	indirect.thought.1	-	-	-	-
diese	-	dieser	PDAT	PRO.Dem.Attr.-.Nom.Sg.Fem	no	indirect.thought.1	-	-	-	-
Majorität	-	Majorität	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.1	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	indirect.thought.1	-	-	-	-
Einschreiten	-	Einschreit	NN	N.Reg.Acc.Sg.Neut	no	indirect.thought.1	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	indirect.thought.1	-	-	-	-
Staates	-	Staat	NN	N.Reg.Gen.Sg.Masc	no	indirect.thought.1	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	indirect.thought.1	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	indirect.thought.1	-	-	-	-
völlig	-	völlig	ADJD	ADJD.Pos	no	indirect.thought.1	-	-	-	-
communistische	-	communistisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	indirect.thought.1	-	-	-	-
Gemeinschaft	-	Gemeinschaft	NN	N.Reg.Nom.Sg.Fem	no	indirect.thought.1	-	-	-	-
sofort	-	sofort	ADV	ADV	no	indirect.thought.1	-	-	-	-
organisire	-	organisir	NN	VFIN.Full.3.Sg.Pres.Subj	no	indirect.thought.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	indirect.thought.1	-	-	-	-
so	-	so	ADV	ADV	no	indirect.thought.1	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	indirect.thought.1	-	-	-	-
moralischen	-	moralisch	ADJA	ADJA.Pos.Acc.Sg.Masc	no	indirect.thought.1	-	-	-	-
Kampf	-	Kampf	NN	N.Reg.Acc.Sg.Masc	no	indirect.thought.1	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	indirect.thought.1	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	indirect.thought.1	-	-	-	-
alten	-	alt	ADJA	ADJA.Pos.Dat.Sg.Fem	no	indirect.thought.1	-	-	-	-
Bourgeoisgesellschaft	-	Bourgeoisgesellschaft	NN	N.Reg.Dat.Sg.Fem	no	indirect.thought.1	-	-	-	-
bis	-	bis	KON	APPR.Bis	no	indirect.thought.1	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Masc	no	indirect.thought.1	-	-	-	-
Siege	-	Sieg	NN	N.Reg.Dat.Sg.Masc	no	indirect.thought.1	-	-	-	-
führe	-	führen	VVFIN	VFIN.Full.3.Sg.Past.Subj	no	indirect.thought.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.thought.1	-	-	-	-
Cabet	-	Cabet	NE	N.Name.Nom.Sg.*	yes	-	-	-	-	-
übersieht	-	übersehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
hier	-	hier	ADV	ADV	no	-	-	-	-	-
nämlich	-	nämlich	ADV	ADV	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Umstand	-	Umstand	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Menschen	-	Mensch	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
Produkt	-	Produkt	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
ihrer	-	ihr	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Fem	no	-	-	-	-	-
Zeit	-	Zeit	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
sofortige	-	sofortig	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Sprung	-	Sprung	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
heutigen	-	heutig	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Ausbeutergesellschaft	-	Ausbeutergesellschaft	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Communismus	-	Communismus	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
auch	-	auch	ADV	ADV	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Masc	no	-	-	-	-	-
Arbeiter	-	Arbeiter	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
allzugroß	-	allzugroß	ADJD	ADJD.Pos	no	-	-	-	-	-
sein	-	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
würde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Subj	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wenn	-	wenn	KOUS	CONJ.SubFin.-	yes	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Majorität	-	Majorität	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
eines	-	ein	ART	ART.Indef.Gen.Sg.Neut	no	-	-	-	-	-
Volkes	-	Volk	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	reported.thought.2	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	reported.thought.2	-	-	-	-
festen	-	fest	ADJA	ADJA.Pos.Dat.Sg.Masc	no	reported.thought.2	-	-	-	-
Willen	-	Wille	NN	N.Reg.Dat.Sg.Masc	no	reported.thought.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
heutigen	-	heutig	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Produktionsweise	-	Produktionsweise	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
Ende	-	Ende	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	-	-	-	-	-
machen	-	machen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Leitung	-	Leitung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Staates	-	Staat	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
übernimmt	-	übernehmen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
