tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Die	Die	d	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Stellung	Stellung	Stellung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
Belgiens	Belgiens	Belgien	NE	N.Name.Gen.Sg.Neut	no	-	-	-	-	-
zum	zum	zum	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
alten	alten	alt	ADJA	ADJA.Pos.Dat.Sg.Neut	no	-	-	-	-	-
Reiche	Reiche	Reiche	NE	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
Dr.	Dr.	Dr.	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
Lonrcid	Lonrcid	Lonrcid	NE	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
Born	Born	Born	NE	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	yes	-	-	-	-	-
Professor	Professor	Professor	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
unächst	unnächst	unnächst	ADJD	FM	yes	-	frame.1	-	-	-
sei	sei	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Subj	no	-	frame.1	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	-	frame.1	-	-	-
sprachliche	sprachliche	sprachlich	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	frame.1	-	-	-
Bemerkung	Bemerkung	Bemerkung	NN	N.Reg.Nom.Sg.Fem	no	-	frame.1	-	intexpr.1	-
vorausgeschickt	vorausgeschickt	vorausschicken	VVPP	VPP.Full.Psp	no	-	frame.1	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.1	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	indirect.speech.1	-	-	-	-
Name	Name	Name	NN	N.Reg.Nom.Sg.Masc	no	indirect.speech.1	-	-	-	-
Belgien	Belgien	Belgien	NE	N.Name.Nom.Sg.Neut	no	indirect.speech.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	indirect.speech.1	-	-	-	-
der	der	die	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	indirect.speech.1	-	-	-	-
nach	nach	nach	APPR	APPR.Dat	no	indirect.speech.1	-	-	-	-
Caesar	Caesar	Caesar	NE	N.Name.Dat.Sg.Masc	no	indirect.speech.1	-	-	-	-
einen	einen	eine	ART	ART.Indef.Acc.Sg.Masc	no	indirect.speech.1	-	-	-	-
