tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Wie	Wie	wie	PWAV	PROADV.Inter	yes	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.Masc	no	-	-	-	-	-
Tagen	Tagen	Tag	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
an	an	an	APPR	APZR	no	-	-	-	-	-
welche	welche	welche	PRELS	PRO.Indef.Subst.-.Nom.Pl.Masc	no	-	-	-	-	-
diese	diese	diese	PDAT	PRO.Dem.Attr.-.Acc.Pl.Neut	no	-	-	-	-	-
Monumente	Monumente	Monument	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
erinnern	erinnern	erinnern	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	-	-	-	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Neut	no	-	-	-	-	-
Reich	Reich	Reich	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
seiner	seiner	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
Autorität	Autorität	Autorität	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
Italien	Italien	Italien	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
stand	stand	stehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
zeigt	zeigt	zeigen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
hinlänglich	hinlänglich	hinlänglich	ADJD	ADJD.Pos	no	-	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Umstand	Umstand	Umstand	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
König	König	König	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
künftige	künftige	künftig	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Kaiser	Kaiser	Kaiser	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
zu	zu	zu	APPR	APPR.Dat	no	reported.thought.1	-	-	-	-
seiner	seiner	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Fem	no	reported.thought.1	-	speaker.1	-	-
beabsichtigten	beabsichtigten	beabsichtigt	ADJA	ADJA.Pos.Dat.Sg.Fem	no	reported.thought.1	-	-	intexpr.1	-
Romfahrt	Romfahrt	Romfahrt	NN	N.Reg.Dat.Sg.Fem	no	reported.thought.1	-	-	-	-
am	am	am	APPRART	APPRART.Dat.Sg.Masc	no	reported.thought.1	-	-	-	-
31	31	31	CARD	CARD	no	reported.thought.1	-	-	-	-
Oct.	Oct.	Oct.	NN	N.Reg.Dat.Pl.Fem	no	reported.thought.1	-	-	-	-
1447	1447	1447	CARD	CARD	yes	reported.thought.1	-	-	-	-
von	von	von	APPR	APPR.Dat	no	reported.writing.2	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
Stadt	Stadt	Stadt	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
Siena	Siena	Siena	NE	N.Name.Nom.Sg.Neut	no	reported.writing.2	-	speaker.2	-	-
einen	einen	eine	ART	ART.Indef.Acc.Sg.Masc	no	reported.writing.2	-	-	-	-
--	--	--	$(	ADJA.Pos.Acc.Sg.Masc	no	reported.writing.2	-	-	-	-
Geleitsbrief	Geleitsbrief	Geleitsbrief	NN	N.Reg.Acc.Sg.Masc	no	reported.writing.2	-	-	intexpr.2	-
ausstellen	ausstellen	ausstellen	VVINF	VINF.Full.-	no	reported.writing.2	-	-	-	-
ließ	ließ	lassen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	der	die	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
im	im	im	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Wiener	Wiener	Wiener	ADJA	ADJA.Pos.*.*.*	no	-	-	-	-	-
Staatsarchiv	Staatsarchiv	Staatsarchiv	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
liegt	liegt	liegen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Chmel	Chmel	Chmel	NE	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
seinen	seinen	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Neut	no	-	-	-	-	-
Materialien	Materialien	Material	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
herausgegeben	herausgegeben	herausgeben	VVPP	VPP.Full.Psp	no	-	-	-	-	-
worden	worden	werden	VAPP	VPP.Aux.Psp	no	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Mann	Mann	Mann	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
welcher	welcher	welche	PRELS	PRO.Inter.Attr.-.Gen.Sg.Fem	no	-	-	-	-	-
vor	vor	vor	APPR	APPR.Vor	no	-	-	-	-	-
