tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Theodor	Theodor	Theodor	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
Storm	Storm	Storm	NE	N.Name.Nom.Sg.*	no	-	-	-	-	-
Eine	Eine	eine	ART	ART.Indef.Nom.Sg.Fem	yes	-	-	-	-	-
Malerarbeit	Malerarbeit	Malerarbeit	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
Wir	Wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	-	-	-	-
saßen	saßen	sitzen	VVFIN	VFIN.Full.1.Pl.Past.Ind	no	-	-	-	-	-
am	am	am	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Kamin	Kamin	Kamin	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Männer	Männer	Mann	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Frauen	Frauen	Frau	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
eine	eine	eine	ART	ART.Indef.Nom.Sg.Fem	no	-	-	-	-	-
behagliche	behagliche	behaglich	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Plaudergesellschaft	Plaudergesellschaft	Plaudergesellschaft	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Mensch	Mensch	Mensch	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
gab	gab	geben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
wie	wie	wie	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
immer	immer	immer	ADV	ADV	no	-	-	-	-	-
den	den	d	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
besten	besten	gut	ADJA	ADJA.Sup.Acc.Sg.Masc	no	-	-	-	-	-
Unterhaltungsstoff	Unterhaltungsstoff	Unterhaltungsstoff	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.1	-	-	-	-
endlich	endlich	endlich	ADV	ADV	no	reported.speech.1	-	-	-	-
waren	waren	sein	VAFIN	VFIN.Sein.1.Pl.Past.Ind	no	reported.speech.1	-	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	reported.speech.1	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	reported.speech.1	-	-	-	-
einem	einem	eine	ART	ART.Indef.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
abwesenden	abwesenden	abwesend	ADJA	ADJA.Pos.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
Bekannten	Bekannten	Bekannte	NN	N.Reg.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
angelangt	angelangt	angelangen	VVPP	VPP.Full.Psp	no	reported.speech.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	der	die	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
aus	aus	aus	APPR	APPR.Dat	no	-	-	-	-	-
Mißfallen	Mißfallen	Mißfallen	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
an	an	an	APPR	APPR.An	no	-	-	-	-	-
seiner	seiner	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
übrigens	übrigens	übrigens	ADV	ADV	no	-	-	-	-	-
frei	frei	frei	ADJD	ADJD.Pos	no	-	-	-	-	-
gewählten	gewählten	gewählt	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Gattin	Gattin	Gattein	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
sein	sein	sein	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Neut	no	-	-	-	-	-
Familienleben	Familienleben	Familienleben	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
fast	fast	fast	ADV	ADV	no	-	-	-	-	-
eigensinnig	eigensinnig	eigensinnig	ADJD	ADJD.Pos	no	-	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	-	-	-	-
zerstören	zerstören	zerstören	VVINF	VINF.Full.-	no	-	-	-	-	-
schien	schien	scheinen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Es	Es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	reported.speech.2	-	-	-	-
wurde	wurde	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	reported.speech.2	-	-	-	-
hin	hin	hin	ADV	ADV	no	reported.speech.2	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
wider	wider	wider	APPR	APPR.Acc	no	reported.speech.2	-	-	-	-
gesprochen	gesprochen	sprechen	VVPP	VPP.Full.Psp	no	reported.speech.2	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
Partei	Partei	Partei	NN	N.Reg.Acc.Sg.Fem	no	reported.speech.2	-	-	-	-
genommen	genommen	nehmen	VVPP	VPP.Full.Psp	no	reported.speech.2	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	reported.speech.2	-	-	-	-
»	&quot;	&quot;	$(	N.Reg.Nom.Sg.Masc	yes	direct.speech.3	-	-	-	-
Mit	Mit	mit	APPR	APPR.Dat	no	direct.speech.3	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	direct.speech.3	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	direct.speech.3	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	direct.speech.3	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	direct.speech.3	-	-	-	-
leben	leben	leben	VVINF	VINF.Full.-	no	direct.speech.3	-	-	-	-
«	&quot;	&quot;	$(	FM	no	direct.speech.3	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
riefen	riefen	rufen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	frame.3	-	intexpr.3	-
einige	einige	einige	PIS	PRO.Indef.Subst.-.Nom.Pl.Masc	no	-	frame.3	speaker.3	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
»	&quot;	&quot;	$(	FM	no	direct.speech.3	-	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	direct.speech.3	-	-	-	-
kann's	kann_es	können_es	VMFIN	FM	no	direct.speech.3	-	-	-	-
ihm	ihm	er	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	direct.speech.3	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	direct.speech.3	-	-	-	-
verdenken	verdenken	verdenken	VVINF	VINF.Full.-	no	direct.speech.3	-	-	-	-
!	!	!	$.	SYM.Pun.Sent	no	direct.speech.3	-	-	-	-
«	&quot;	&quot;	$(	N.Reg.Nom.Sg.Masc	no	direct.speech.3	-	-	-	-
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
bisher	bisher	bisher	ADV	ADV	no	-	-	-	-	-
schweigsame	schweigsame	schweigsam	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Hausarzt	Hausarzt	Hausarzt	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	der	die	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
erst	erst	erst	ADV	ADV	no	-	-	-	-	-
seit	seit	seit	APPR	APPR.Dat	no	-	-	-	-	-
einigen	einigen	einige	PIAT	PRO.Indef.Attr.-.Dat.Pl.Neut	no	-	-	-	-	-
Jahren	Jahren	Jahr	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
unserem	unserem	unsere	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Neut	no	-	-	-	-	-
Städtchen	Städtchen	Stadtchen	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
niedergelassen	niedergelassen	niederlassen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
räusperte	räusperte	räuspern	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
nahm	nahm	nehmen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
eine	eine	eine	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
Prise	Prise	Prise	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
»	&quot;	&quot;	$(	N.Name.*.*.*	yes	direct.speech.4	-	-	-	-
Man	Man	man	PIS	N.Name.Nom.Sg.Fem	no	direct.speech.4	-	-	-	-
muß	muß	müssen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	direct.speech.4	-	-	-	-
sein	sein	sein	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Neut	no	direct.speech.4	-	-	-	-
