tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Dies	-	dieser	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	yes	-	-	-	-	-
konnte	-	können	VMFIN	VFIN.Mod.3.Sg.Past.Ind	no	-	-	-	-	-
natürlich	-	natürlich	ADV	ADV	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
ersten	-	erster	ADJA	ADJA.Pos.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
Alles	-	alle	PIS	PRO.Indef.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
geschehen	-	geschehen	VVINF	VPP.Full.Psp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
denn	-	denn	KON	CONJ.Coord.Denn	no	-	-	-	-	-
diese	-	dieser	PDAT	PRO.Dem.Attr.-.Nom.Sg.Fem	no	-	-	-	-	-
Umgestaltung	-	Umgestaltung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
erfoderte	-	erfodern	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
viel	-	viel	PIAT	PRO.Indef.Attr.-.*.*.*	no	-	-	-	-	-
Zeit	-	Zeit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Mühe	-	Mühe	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
doch	-	doch	KON	CONJ.Coord.Doch	no	-	-	-	-	-
Karl	-	Karl	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Seinen	-	sein	PPOSAT	PRO.Poss.Subst.-.Acc.Pl.*	no	-	-	-	-	-
sputeten	-	sputen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	no	-	-	-	-	-
Jahr	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	-	-	-	-	-
Jahr	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
ein	-	ein	PTKVZ	PART.Verb	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Erfolge	-	Erfolg	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
zeigten	-	zeigen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	no	-	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	-	-	-	-	-
jeder	-	jeder	PIAT	PRO.Indef.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
Ernte	-	Ernte	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	reported.thought.1	-	-	-	-
ganz	-	ganz	ADV	ADV	no	reported.thought.1	-	-	-	-
erwünschter	-	erwünscht	ADJA	ADJA.Pos.Dat.Sg.Fem	no	reported.thought.1	-	-	-	-
Art	-	Art	NN	N.Reg.Dat.Sg.Fem	no	reported.thought.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
so	-	so	ADV	ADV	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	reported.thought.2	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.*	no	reported.thought.2	frame.3	-	-	-
andern	-	anderer	ADJA	PRO.Indef.Subst.-.Nom.Pl.*	no	reported.thought.2	frame.3	-	-	-
Bauern	-	Bauer	NN	N.Reg.Acc.Pl.Masc	no	reported.thought.2	frame.3	speaker.3	-	-
bald	-	bald	ADV	ADV	no	reported.thought.2	frame.3	-	-	-
anders	-	anders	ADV	ADV	no	reported.thought.2	frame.3	-	-	-
denken	-	denken	VVINF	VINF.Full.-	no	reported.thought.2	frame.3	-	-	-
lernten	-	lernen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	reported.thought.2	frame.3	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	frame.3	-	-	-
beim	-	bei	APPRART	APPRART.Dat.Sg.Masc	no	-	frame.3	-	-	-
Anblick	-	Anblick	NN	N.Reg.Dat.Sg.Masc	no	-	frame.3	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	-	frame.3	-	-	-
reichen	-	reich	ADJA	ADJA.Pos.Gen.Sg.Masc	no	-	frame.3	-	-	-
Erntesegens	-	Erntesegen	NN	N.Reg.Gen.Sg.Masc	no	-	frame.3	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
welcher	-	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	frame.3	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	frame.3	-	-	-
